gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_type	cluster	pct.diff
CD2	2.499251039192673e-91	-2.3472419017364907	0.008	0.132	3.165801291345359e-87	T cells	0	-0.124
CD3D	8.273977771338698e-140	-2.9760623671196322	0.009	0.19	1.0480647642954728e-135	T cells	0	-0.181
TRAC	4.091835885064329e-77	-2.0592652339035546	0.005	0.109	5.183128515610986e-73	T cells	0	-0.104
TRBC2	1.0158002052854138e-158	-2.9957001474558	0.014	0.219	1.2867141200350336e-154	T cells	0	-0.205
KLRD1	1.7788456762371805e-94	-2.5826339372103533	0.01	0.139	2.2532638180896367e-90	NK cells	0	-0.129
NKG7	9.779416002007528e-301	-4.240690499510336	0.048	0.399	1.2387586249742935e-296	NK cells	0	-0.35100000000000003
KLRC1	3.3866229371232902e-22	-1.0954598928441361	0.003	0.035	4.289835274454072e-18	NK cells	0	-0.032
FCGR3A	3.215996128030178e-87	-2.3192830459340588	0.054	0.2	4.073702295375827e-83	NK cells	0	-0.14600000000000002
CD14	0	2.957545766625948	0.533	0.016	0	monocytes	0	0.517
FCN1	0	2.763133202683706	0.809	0.103	0	monocytes	0	0.7060000000000001
VCAN	0	4.464099394731038	0.923	0.045	0	monocytes	0	0.878
CD1C	0.2166153435434566	-0.1016813587712338	0.018	0.014	1	Dendritic cells	0	0.003999999999999998
CD1E	0.8163706402239421	-0.0027516114158131245	0.002	0.001	1	Dendritic cells	0	0.001
FCER1A	5.6654891985628986e-8	-0.3301870350444656	0.002	0.014	7.176475167819624e-4	Dendritic cells	0	-0.012
MS4A1	3.2310702068283597e-76	-3.042721928022275	0.008	0.114	4.092796630989483e-72	B cells	0	-0.10600000000000001
CD79A	3.64987152376585e-38	-1.2693321243713416	0.002	0.055	4.623292259154202e-34	B cells	0	-0.053
CD79B	4.426779416621139e-27	-1.1228468533708873	0.009	0.054	5.607401487033997e-23	B cells	0	-0.045
IGHD	1.3396200539782947e-13	-0.670775627831709	0.001	0.018	1.696896722374306e-9	B cells	0	-0.016999999999999998
HLA-DRA	0	1.012231547256234	0.814	0.259	0	B cells	0	0.5549999999999999
JCHAIN	1.2040150234279009e-21	-2.0570888500709272	0.005	0.038	1.525125830176122e-17	Plasma cells	0	-0.033
MZB1	3.5377356465075564e-24	-1.1812870154068933	0.002	0.035	4.481249743431122e-20	Plasma cells	0	-0.033
IGHG1	3.652525564605475e-6	-1.7402004778631357	0.003	0.013	0.04626654132685755	Plasma cells	0	-0.009999999999999998
CD2	1.5135261735127473e-7	-0.460377632148278	0.047	0.091	0.001917183603988597	T cells	1	-0.044
CD3D	1.3466534166815718e-17	-0.9650163316779357	0.051	0.134	1.705805882910547e-13	T cells	1	-0.08300000000000002
TRAC	4.937080686986151e-17	-1.153873654203432	0.017	0.079	6.253800106205358e-13	T cells	1	-0.062
TRBC2	1.0650288207309241e-4	0.31252601380571	0.17	0.134	1	T cells	1	0.036000000000000004
KLRD1	0	3.172879871358319	0.386	0.032	0	NK cells	1	0.354
NKG7	0	3.1144460381557906	0.866	0.148	0	NK cells	1	0.718
KLRC1	7.766399816789275e-33	1.2850411117362568	0.066	0.014	9.837698647926974e-29	NK cells	1	0.052000000000000005
FCGR3A	1.0614462213438148e-44	1.3260132289806679	0.255	0.123	1.3445339285762101e-40	NK cells	1	0.132
CD14	6.493365368234769e-95	-2.136873778222529	0.004	0.255	8.225145911942981e-91	monocytes	1	-0.251
FCN1	1.9982687134090624e-198	-3.392392104418462	0.004	0.445	2.5312069792752594e-194	monocytes	1	-0.441
VCAN	2.063331614135553e-192	-3.702462480797446	0.016	0.453	2.613622155625505e-188	monocytes	1	-0.437
CD1C	2.665720213994608e-7	-0.3422451372582806	0	0.019	0.00337666779506697	Dendritic cells	1	-0.019
CD1E	0.12773254574804097	-0.02525880441403646	0	0.002	1	Dendritic cells	1	-0.002
FCER1A	8.72902555253828e-5	-0.2810964997167517	0	0.011	1	Dendritic cells	1	-0.011
MS4A1	1.871857881737452e-29	-2.802927668723632	0.001	0.088	2.3710823787968305e-25	B cells	1	-0.087
CD79A	4.13478526827683e-14	-1.0313686713012404	0.001	0.041	5.23753249932626e-10	B cells	1	-0.04
CD79B	1.582005057671709e-10	-0.6627959567120632	0.007	0.043	2.0039258065527536e-6	B cells	1	-0.036
IGHD	1.3485285693291131e-5	-0.5294556548725712	0	0.013	0.17081811387691875	B cells	1	-0.013
HLA-DRA	9.13585638360049e-263	-3.8870971816089424	0.02	0.56	1.157238928110674e-258	B cells	1	-0.54
JCHAIN	5.358197074800753e-8	-1.5951525395827832	0.004	0.029	6.787228234650113e-4	Plasma cells	1	-0.025
MZB1	2.986008784249605e-8	-0.8657636481164358	0.002	0.026	3.782377327008975e-4	Plasma cells	1	-0.024
IGHG1	7.594578820436294e-4	-1.40998978089325	0.001	0.011	1	Plasma cells	1	-0.009999999999999998
CD2	7.49750952522678e-96	1.4216044174326936	0.244	0.059	9.497095315604763e-92	T cells	2	0.185
CD3D	6.221248846169571e-208	1.8475791443464233	0.399	0.077	7.880455913442996e-204	T cells	2	0.322
TRAC	6.1466895976928675e-282	2.4971429951521262	0.317	0.03	7.786011713397555e-278	T cells	2	0.28700000000000003
TRBC2	1.6028471912601528e-170	1.9245474173826285	0.401	0.099	2.0303265371692357e-166	T cells	2	0.30200000000000005
KLRD1	1.9234845118468942e-26	-2.1044780754389194	0.007	0.102	2.436477831156461e-22	NK cells	2	-0.09499999999999999
NKG7	3.405827520522921e-76	-3.1464141466147413	0.045	0.298	4.314161720246384e-72	NK cells	2	-0.253
KLRC1	2.027350446070877e-6	-0.7877254469695032	0.003	0.026	0.0256804481003798	NK cells	2	-0.023
FCGR3A	3.2030231369563905e-48	-2.552963183493306	0.004	0.166	4.0572694075826597e-44	NK cells	2	-0.162
CD14	2.856994149918569e-78	-2.218320730538286	0.003	0.248	3.618954489701851e-74	monocytes	2	-0.245
FCN1	1.4350234888351868e-162	-3.4126137132126266	0.003	0.432	1.8177442533075311e-158	monocytes	2	-0.429
VCAN	3.5807759242930023e-162	-4.092772643935587	0.011	0.44	4.535768863301946e-158	monocytes	2	-0.429
CD1C	3.602269517777814e-6	-0.33288038936357006	0	0.018	0.045629947981691565	Dendritic cells	2	-0.018
CD1E	0.17025902255683112	-0.024491483248893577	0	0.002	1	Dendritic cells	2	-0.002
FCER1A	0.06121400631650936	0.00792860076884036	0.004	0.01	1	Dendritic cells	2	-0.006
MS4A1	3.6541190962863775e-20	-2.5407478027091397	0.009	0.084	4.628672659265954e-16	B cells	2	-0.07500000000000001
CD79A	3.715563598002229e-10	-0.9401458924868432	0.003	0.04	4.706504409589423e-6	B cells	2	-0.037
CD79B	3.756148896704594e-8	-0.6190793116360507	0.009	0.041	4.757913807455709e-4	B cells	2	-0.032
IGHD	2.911097046029033e-4	-0.4962367212906478	0.001	0.013	1	B cells	2	-0.012
HLA-DRA	8.451322678069866e-209	-3.699546809899643	0.027	0.542	1.07052904363111e-204	B cells	2	-0.515
JCHAIN	2.5354890689404034e-6	-1.5312732940898908	0.005	0.028	0.03211704003626809	Plasma cells	2	-0.023
MZB1	2.9235232574933184e-6	-0.8272178865800752	0.003	0.025	0.03703226910266787	Plasma cells	2	-0.022000000000000002
IGHG1	0.0011486639676354382	-1.4217633357204094	0.001	0.011	1	Plasma cells	2	-0.009999999999999998
CD2	4.791656981644555e-156	2.3603939643069447	0.302	0.057	6.069591898649158e-152	T cells	3	0.245
CD3D	2.9198535370601756e-232	2.5168439008512875	0.431	0.081	3.6985784753941245e-228	T cells	3	0.35
TRAC	5.626287530556762e-28	1.2472227007342165	0.151	0.059	7.126818414956251e-24	T cells	3	0.092
TRBC2	4.1331708861203885e-60	1.4752826137087598	0.305	0.119	5.235487561448696e-56	T cells	3	0.186
KLRD1	3.3304784362188004e-19	0.7672488765600067	0.168	0.079	4.218717035158354e-15	NK cells	3	0.08900000000000001
NKG7	7.128114283879715e-274	1.7122116794367592	0.746	0.203	9.029182363390435e-270	NK cells	3	0.5429999999999999
KLRC1	1.2264791108212144e-30	1.2643151720509946	0.074	0.016	1.5535810896772324e-26	NK cells	3	0.057999999999999996
FCGR3A	6.971693144059806e-11	-0.76205952932759	0.073	0.153	8.831043705580556e-7	NK cells	3	-0.08
CD14	4.04707957147296e-64	-2.1654290203800275	0.002	0.241	5.126435693184798e-60	monocytes	3	-0.239
FCN1	5.735840567996927e-127	-3.0677399503765486	0.008	0.42	7.265589247481708e-123	monocytes	3	-0.412
VCAN	9.283816964767712e-129	-3.7845427397180096	0.014	0.429	1.175981094927126e-124	monocytes	3	-0.415
CD1C	2.9653829572850863e-4	-0.23765068162404948	0.002	0.017	1	Dendritic cells	3	-0.015000000000000001
CD1E	0.2167369355948089	-0.023871272718943067	0	0.002	1	Dendritic cells	3	-0.002
FCER1A	0.004768185690547281	-0.21493944389046635	0.001	0.01	1	Dendritic cells	3	-0.009000000000000001
MS4A1	6.974150128000535e-16	-2.4070632604847635	0.01	0.082	8.834155967138278e-12	B cells	3	-0.07200000000000001
CD79A	3.8521952496681097e-10	-1.0224900749716397	0	0.039	4.879575722754594e-6	B cells	3	-0.039
CD79B	2.6632613697792766e-8	-0.7902199535104879	0.005	0.041	3.37355317709941e-4	B cells	3	-0.036000000000000004
IGHD	4.161011241653587e-4	-0.5046978768521657	0	0.013	1	B cells	3	-0.013
HLA-DRA	5.4721106815459124e-158	-3.272391253891877	0.041	0.527	6.931522600314207e-154	B cells	3	-0.48600000000000004
JCHAIN	1.0311996289737068e-6	-1.6830639527428908	0.002	0.028	0.013062205700209944	Plasma cells	3	-0.026000000000000002
MZB1	1.8138604040796048e-5	-0.8119336393237175	0.003	0.025	0.22976169738476354	Plasma cells	3	-0.022000000000000002
IGHG1	0.011850136502740954	-1.3378135641521598	0.002	0.01	1	Plasma cells	3	-0.008
CD2	1.4504649292524297e-15	-1.9731349357918373	0.004	0.091	1.8373039258840527e-11	T cells	4	-0.087
CD3D	4.7224337008567025e-23	-2.5915475753516057	0.004	0.131	5.981906768875185e-19	T cells	4	-0.127
TRAC	5.318638625451626e-13	-1.682881314161581	0.003	0.075	6.737119546859574e-9	T cells	4	-0.072
TRBC2	6.231926537752334e-25	-2.5797622718704734	0.011	0.151	7.893981345370881e-21	T cells	4	-0.13999999999999999
KLRD1	4.2383953688227747e-16	-2.1599088331061225	0.006	0.097	5.368775413687809e-12	NK cells	4	-0.091
NKG7	5.200439902476422e-40	-3.618171600369826	0.064	0.282	6.587397224466884e-36	NK cells	4	-0.21799999999999997
KLRC1	0.0015352123294130697	-0.7882885861953636	0.006	0.024	1	NK cells	4	-0.018000000000000002
FCGR3A	0	3.086549134403848	0.854	0.081	0	NK cells	4	0.773
CD14	1.1603406606110107e-17	-1.1324589369297975	0.091	0.225	1.4698035147959672e-13	monocytes	4	-0.134
FCN1	7.165676124258238e-51	0.6289600149279009	0.685	0.346	9.07676194659791e-47	monocytes	4	0.3390000000000001
VCAN	1.4642476553365178e-45	-2.5289950734220796	0.173	0.401	1.8547625050147672e-41	monocytes	4	-0.22800000000000004
CD1C	0.1116611777130678	-0.1889271400539808	0.009	0.016	1	Dendritic cells	4	-0.007000000000000001
CD1E	0.9816940144647921	-0.0052993411716735495	0.001	0.001	1	Dendritic cells	4	0
FCER1A	0.00784600327747764	-0.25856609558732074	0	0.01	1	Dendritic cells	4	-0.01
MS4A1	4.1744881701890114e-12	-2.533490644325084	0.009	0.079	5.287824165178421e-8	B cells	4	-0.07
CD79A	3.0071491113407365e-5	-0.869341935197497	0.007	0.037	0.3809155779335311	B cells	4	-0.03
CD79B	4.1804090832615875e-14	0.2399838741063386	0.09	0.032	5.295324185767452e-10	B cells	4	0.057999999999999996
IGHD	0.009886514082331647	-0.47290176931089306	0.001	0.012	1	B cells	4	-0.011
HLA-DRA	2.845368385370465e-116	1.0481474860034128	0.883	0.436	3.6042281337487682e-112	B cells	4	0.447
JCHAIN	0.0013247691839909832	-1.6109875886040252	0.007	0.027	1	Plasma cells	4	-0.02
MZB1	2.802559033944171e-4	-0.8511682775783606	0.003	0.024	1	Plasma cells	4	-0.021
IGHG1	0.06004050665471146	-1.3526778233693637	0.003	0.01	1	Plasma cells	4	-0.007
CD2	2.663806583483045e-13	-1.7382869589481569	0.01	0.091	3.3742437992979736e-9	T cells	5	-0.081
CD3D	4.5817979619265503e-20	-2.328686174221209	0.012	0.13	5.803763478372361e-16	T cells	5	-0.11800000000000001
TRAC	5.881791864023998e-10	-1.3859160878428232	0.012	0.074	7.4504657541591974e-6	T cells	5	-0.062
TRBC2	0.08252686482937797	-0.46835524271962736	0.121	0.142	1	T cells	5	-0.02099999999999999
KLRD1	5.360582815176801e-13	-1.8578098314787306	0.015	0.096	6.7902502519844545e-9	NK cells	5	-0.081
NKG7	6.992382806108948e-40	-2.8422160866681607	0.053	0.282	8.857251300498204e-36	NK cells	5	-0.22899999999999998
KLRC1	0.02115350941907334	-0.6132069956859798	0.01	0.024	1	NK cells	5	-0.014
FCGR3A	6.200827475298486e-22	-1.9462584319915974	0.02	0.155	7.854588162960593e-18	NK cells	5	-0.135
CD14	3.1925919057986835e-45	-2.2354642966722755	0	0.233	4.0440561670751925e-41	monocytes	5	-0.233
FCN1	4.4283557424728355e-91	-3.3542206778367505	0.001	0.406	5.60939821899034e-87	monocytes	5	-0.405
VCAN	1.2733719155950962e-87	-3.668587143917092	0.016	0.414	1.6129802054843085e-83	monocytes	5	-0.39799999999999996
CD1C	0.0822605799176739	0.4716039994988103	0.023	0.015	1	Dendritic cells	5	0.008
CD1E	0.3081260406997825	-0.023019299792080214	0	0.002	1	Dendritic cells	5	-0.002
FCER1A	0.008653366167775086	-0.25808791524541763	0	0.01	1	Dendritic cells	5	-0.01
MS4A1	0	5.812218460860996	0.839	0.007	0	B cells	5	0.832
CD79A	0	3.319204954113172	0.311	0.011	0	B cells	5	0.3
CD79B	1.1890344018548271e-213	2.825216546291716	0.25	0.019	1.5061498768295095e-209	B cells	5	0.231
IGHD	4.047400043689192e-222	2.4773945612259736	0.134	0.001	5.1268416353411e-218	B cells	5	0.133
HLA-DRA	4.941476325087654e-81	1.2501004888210927	0.718	0.451	6.259368060988531e-77	B cells	5	0.26699999999999996
JCHAIN	6.222191639156307e-4	-0.4449657301708694	0.045	0.023	1	Plasma cells	5	0.022
MZB1	4.04828857707548e-7	0.43696611987104794	0.05	0.02	0.005127967140581511	Plasma cells	5	0.030000000000000002
IGHG1	7.836989233771218e-19	0.6646394332075198	0.041	0.007	9.927114262418001e-15	Plasma cells	5	0.034
CD2	0.038218498248887386	-0.5479388521346751	0.135	0.083	1	T cells	6	0.052000000000000005
CD3D	0.281244821776969	-0.7336524845768464	0.161	0.12	1	T cells	6	0.04100000000000001
TRAC	0.002858498905966986	-0.2667642686994627	0.13	0.068	1	T cells	6	0.062
TRBC2	1.3698086199206945e-7	-0.24559092145142225	0.301	0.136	0.0017351365788535436	T cells	6	0.16499999999999998
KLRD1	0.0116554843601844	-1.65794433823431	0.041	0.09	1	NK cells	6	-0.048999999999999995
NKG7	0.0037263683308246883	-1.3910236705684969	0.202	0.266	1	NK cells	6	-0.064
KLRC1	0.7687088024493806	-0.06667377662895846	0.026	0.023	1	NK cells	6	0.002999999999999999
FCGR3A	2.784889380398404e-5	-1.6772044165091997	0.041	0.147	0.3527619378150658	NK cells	6	-0.10599999999999998
CD14	3.819120066987135e-12	-2.0247587650686496	0.01	0.219	4.837679388852604e-8	monocytes	6	-0.209
FCN1	1.0064511640930481e-23	-3.056994115008559	0.021	0.382	1.274871689556664e-19	monocytes	6	-0.361
VCAN	6.059975618224123e-23	-3.7396142530239587	0.041	0.39	7.676171115604496e-19	monocytes	6	-0.34900000000000003
CD1C	0.23142232682077468	-0.2794627384602783	0.005	0.016	1	Dendritic cells	6	-0.011
CD1E	0.59975228354733	-0.021683333106034035	0	0.001	1	Dendritic cells	6	-0.001
FCER1A	0.17631886017497903	-0.24420273995198913	0	0.009	1	Dendritic cells	6	-0.009
MS4A1	5.77136724283121e-4	-2.6252952891891486	0.01	0.075	1	B cells	6	-0.065
CD79A	9.361080125472914e-106	1.1406135230682335	0.326	0.028	1.185768019493654e-101	B cells	6	0.298
CD79B	2.2015587728499487e-13	-0.13636819415560908	0.14	0.035	2.78871449756903e-9	B cells	6	0.10500000000000001
IGHD	0.1336364085351531	-0.46482427716397273	0	0.012	1	B cells	6	-0.012
HLA-DRA	8.618707463100262e-22	-3.09929771609671	0.187	0.479	1.0917316743509102e-17	B cells	6	-0.292
JCHAIN	0	6.0854671878327125	0.674	0.01	0	Plasma cells	6	0.664
MZB1	0	4.654517626792437	0.653	0.008	0	Plasma cells	6	0.645
IGHG1	1.9448512108341505e-139	5.497544016902786	0.181	0.005	2.4635430287636186e-135	Plasma cells	6	0.176
CD2	0.0611725436578123	-0.5579065594106611	0.142	0.084	1	T cells	7	0.05799999999999998
CD3D	0.004783933424558537	-2.050299877229321	0.042	0.122	1	T cells	7	-0.07999999999999999
TRAC	0.008016650252221936	-1.4305197372036846	0.008	0.07	1	T cells	7	-0.062000000000000006
TRBC2	1.7934482671198357e-4	-2.422886303279414	0.025	0.142	1	T cells	7	-0.11699999999999999
KLRD1	0.004193601105952839	-2.0551964961942377	0.017	0.09	1	NK cells	7	-0.073
NKG7	3.005062060814594e-8	-3.5879132441629196	0.05	0.267	3.806512112433846e-4	NK cells	7	-0.21700000000000003
KLRC1	0.28272570760498733	-0.7167285775371075	0.008	0.023	1	NK cells	7	-0.015
FCGR3A	3.2098483454616976e-4	-2.1608371082333413	0.033	0.146	1	NK cells	7	-0.11299999999999999
CD14	1.1298603818957861e-5	-1.6156267877610702	0.058	0.217	0.14311941457473923	monocytes	7	-0.159
FCN1	7.649829878825491e-4	-1.1208613170456214	0.275	0.375	1	monocytes	7	-0.09999999999999998
VCAN	7.813042513495518e-6	-1.950797116988118	0.242	0.384	0.09896780951844772	monocytes	7	-0.14200000000000002
CD1C	3.172967977767634e-290	2.764951349058597	0.425	0.01	4.0191985374382617e-286	Dendritic cells	7	0.415
CD1E	7.196548574074885e-47	0.6874827710278888	0.05	0.001	9.115868078780657e-43	Dendritic cells	7	0.049
FCER1A	0	3.451534850535509	0.55	0.002	0	Dendritic cells	7	0.548
MS4A1	0.005454268712124538	-2.4713381509229566	0.008	0.075	1	B cells	7	-0.067
CD79A	0.2669426689932904	-0.7823230491041117	0.017	0.035	1	B cells	7	-0.018000000000000002
CD79B	0.09260111810790285	-0.8042147982707091	0.008	0.037	1	B cells	7	-0.028999999999999998
IGHD	0.7517953810755813	-0.3731843928308128	0.008	0.011	1	B cells	7	-0.002999999999999999
HLA-DRA	1.292425039270162e-66	2.52436501261891	1	0.465	1.6371147972435144e-62	B cells	7	0.5349999999999999
JCHAIN	1.2311917617000415e-22	0.4753490811939103	0.167	0.023	1.5595506045454426e-18	Plasma cells	7	0.14400000000000002
MZB1	2.5822603524526853e-10	0.3282728437407141	0.108	0.021	3.2709491884518163e-6	Plasma cells	7	0.087
IGHG1	0.28234766512064163	-1.3486545729068227	0	0.01	1	Plasma cells	7	-0.01
CD2	0.03719587501994511	-1.941350931811156	0	0.085	1	T cells	8	-0.085
CD3D	0.011086907164016684	-2.54075040173615	0	0.121	1	T cells	8	-0.121
TRAC	0.06172955336242005	-1.6368467448477046	0	0.069	1	T cells	8	-0.069
TRBC2	0.005727311112947742	-2.625412364986403	0	0.141	1	T cells	8	-0.141
KLRD1	0.03155943441714231	-2.174741446561582	0	0.09	1	NK cells	8	-0.09
NKG7	4.021056728383644e-4	-3.5049836495037963	0.043	0.265	1	NK cells	8	-0.22200000000000003
KLRC1	0.2953794364804877	-0.8105093736694724	0	0.023	1	NK cells	8	-0.023
FCGR3A	0.13221342767643882	-0.7033832387705004	0.064	0.145	1	NK cells	8	-0.08099999999999999
CD14	3.763821130779864e-4	-2.148182408055806	0	0.216	1	monocytes	8	-0.216
FCN1	0.10474827834021352	-0.061713663639086924	0.213	0.375	1	monocytes	8	-0.162
VCAN	0.18906915994604667	0.4665261212314631	0.468	0.382	1	monocytes	8	0.08600000000000002
CD1C	0.38563463186408875	-0.2935230142691371	0	0.016	1	Dendritic cells	8	-0.016
CD1E	0.7976458486064311	-0.021316219222882807	0	0.001	1	Dendritic cells	8	-0.001
FCER1A	0.5083408460433017	-0.24036593992411343	0	0.009	1	Dendritic cells	8	-0.009
MS4A1	0.16900302840928869	-1.4380148020344234	0.021	0.074	1	B cells	8	-0.05299999999999999
CD79A	0.19310640242583332	-0.9412617565653942	0	0.035	1	B cells	8	-0.035
CD79B	0.17830399733204852	-0.9161262331597684	0	0.037	1	B cells	8	-0.037
IGHD	0.4631205606485298	-0.45803061648713955	0	0.011	1	B cells	8	-0.011
HLA-DRA	9.243501301652956e-5	-1.630544888838088	0.17	0.474	1	B cells	8	-0.30399999999999994
JCHAIN	0.859603210480075	-0.8800446113521397	0.021	0.025	1	Plasma cells	8	-0.004
MZB1	0.30050045761207717	-0.8612256286423837	0	0.022	1	Plasma cells	8	-0.022
IGHG1	0.502968718717931	-1.3411628097463997	0	0.009	1	Plasma cells	8	-0.009
CD2	0.3268325072048222	0.2117222415104687	0.138	0.084	1	T cells	9	0.054000000000000006
CD3D	0.04665830111514692	0.8209695407941373	0.241	0.12	1	T cells	9	0.121
TRAC	0.4495044005602268	0.47899409413940375	0.103	0.069	1	T cells	9	0.03399999999999999
TRBC2	0.1358390371734453	0.40515369089912356	0.241	0.14	1	T cells	9	0.10099999999999998
KLRD1	0.4493944351271579	-0.11598020380449547	0.138	0.089	1	NK cells	9	0.049000000000000016
NKG7	0.2322199943604346	-1.035312096486527	0.172	0.264	1	NK cells	9	-0.09200000000000003
KLRC1	0.41162866075831467	-0.8092075773672269	0	0.023	1	NK cells	9	-0.023
FCGR3A	0.4892039292191464	-0.7742497397871135	0.103	0.144	1	NK cells	9	-0.040999999999999995
CD14	0.005264303978426438	-2.1458361200249088	0	0.215	1	monocytes	9	-0.215
FCN1	5.8124667891710844e-5	-3.313551429409118	0	0.375	0.7362651681843012	monocytes	9	-0.375
VCAN	4.391612597117783e-5	-4.244863531716913	0	0.384	0.5562855676769095	monocytes	9	-0.384
CD1C	0.49606552761889516	-0.2929655953681759	0	0.016	1	Dendritic cells	9	-0.016
CD1E	0.8407244961807399	-0.021271817597941018	0	0.001	1	Dendritic cells	9	-0.001
FCER1A	0.6038161726124032	-0.23990126114155233	0	0.009	1	Dendritic cells	9	-0.009
MS4A1	0.12864327627652403	-2.6607733374168547	0	0.074	1	B cells	9	-0.074
CD79A	0.3063883488361804	0.6676570495834574	0.069	0.035	1	B cells	9	0.034
CD79B	0.2909065006318992	-0.9147024698486708	0	0.037	1	B cells	9	-0.037
IGHD	0.5648468359624645	-0.45720688267325227	0	0.011	1	B cells	9	-0.011
HLA-DRA	1.7762572747162452e-6	-4.339038772744395	0	0.474	0.02249985089883068	B cells	9	-0.474
JCHAIN	0.3858104982626974	-1.6451929859809231	0	0.025	1	Plasma cells	9	-0.025
MZB1	0.41657749988033665	-0.859864151397469	0	0.022	1	Plasma cells	9	-0.022
IGHG1	0.5992252430505507	-1.3393292042113991	0	0.009	1	Plasma cells	9	-0.009
